Topic	Subtopic	URL	Problem Title
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP02	Naive
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP03	Naive
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP04	Knuth-Morris-Pratt
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP05	KMP
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP06	How
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP07	How
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP08	KMP
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR1	Suffix
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR2	MCQ
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR3	MCQ
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR4	Suffix
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ132	Introduction
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ133	Chef
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ134	MCQ
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ135	MCQ
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ136	MCQ
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ137	MCQ
Greedy techniques	Basics of Greedy, and proofs	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA34/problems/MDDYQ138	Chef
Greedy techniques	Fractional Knapsack	https://www.codechef.com/learn/course/thapar-daa-2026/FRACTIONKNAP/problems/KNAPSACKPR1	What
